"horo","utilisation_cdiscount","pb_rencontre_cdiscount","hors_cdiscount_site_used","nb_achats_mois_cdiscount","nb_achats_mois_autre_ecom","categorie_fav_cdiscount","categorie_fav_autre_ecom","service_client_cdiscount","ergonomie_cdiscount","ameliorer_cdiscount","utilisation_autre_ecom","quel_autre_ecom","freq_achat_autre_ecom","fav_cat_autre_ecom","reco_achat_ligne","fav_carac_ecom","genre","age"
"2020/06/21 5:45:38 PM UTC+2","Oui","Aucun","Amazon;Fnac;Carrefour","1 à 2 fois par mois.","1 à 2 fois par mois.","Meuble déco;Jardin animalerie;Mode Bagage;Jouets","Courses alimentaires;Mode Bagage","6","6","tout est bien pour moi ","","","","","Amazon;Cdiscount;Fnac;Carrefour","Facile à utiliser;Prix abordable","une femme.","43"
"2020/06/21 6:01:02 PM UTC+2","Non","","","","","","","","","","Non","","","","","","un homme.","76"
"2020/06/21 6:52:30 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;Le service client m'a déplu.;L'ergonomie du site me déplait.;J'ai eu des problèmes avec le service de livraison.","Amazon;Fnac;Darty;Ebay;Wish;AliExpress;PriceMinister (Rakuten)","Pratiquement jamais ","1 à 2 fois par mois.","Électroménager","Courses alimentaires;Informatique;TV / Son / Photo;Téléphonie","2","3","Arrêter les arnaques","","","","","Fnac","Facile à utiliser;Prix abordable;Grand nombre d'avis","une femme.","23"
"2020/06/21 7:22:48 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;PriceMinister (Rakuten)","J'en achète plus depuis mon problème","1 à 2 fois par mois.","Électroménager;Informatique;Téléphonie;Sport","Électroménager;Meuble déco;Informatique;Téléphonie;Sport","3","4","Le délai de livraison","","","","","Amazon;PriceMinister (Rakuten)","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre de fonctionnalités","un homme.","26"
"2020/06/21 8:59:50 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Ebay;AliExpress","1 à 2 fois par mois","TV / Son / Photo;Jeux vidéo","Amazon;Fnac","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","18"
"2020/06/21 9:30:37 PM UTC+2","Oui","L'ergonomie du site me déplait.;J'ai eu des problèmes avec le service de livraison.","Amazon;Fnac;AliExpress","rarement ","4 à 8 fois par mois.","Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Courses alimentaires;Meuble déco;Informatique;Reconditionné;Jeux vidéo","6","2","","","","","","Amazon;Fnac","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","une femme.","25"
"2020/06/21 10:22:13 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;J'ai eu des problèmes avec le service de livraison.","Amazon;Vente-privée (Veepee);Ebay;Wish;AliExpress;PriceMinister (Rakuten)","1 à 2 fois par mois.","2 à 4 fois par mois.","Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Bricolage;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo;Jouets","8","7","Ux ui","","","","","Amazon;PriceMinister (Rakuten)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","un homme.","22"
"2020/06/22 11:24:13 AM UTC+2","Non","","","","","","","","","","Oui","Amazon;E-leclerc","1 à 2 fois par mois","Courses alimentaires;Jouets","Amazon","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation;Conseillé par un proche","une femme.","39"
"2020/06/22 12:28:32 PM UTC+2","Oui","Aucun","Amazon;Fnac;Darty;AliExpress;PriceMinister (Rakuten)","De temps en temps ","1 à 2 fois par mois.","Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Électroménager;Bricolage;Informatique;TV / Son / Photo;Téléphonie;Reconditionné;Jeux vidéo;Bébé;Jouets;Sport","6","6","","","","","","Amazon;Fnac;Darty","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis","un homme.","22"
"2020/06/22 1:57:25 PM UTC+2","Oui","Aucun","Amazon","1 à 2 fois par mois.","2 à 4 fois par mois.","TV / Son / Photo;Jeux vidéo","TV / Son / Photo;Jeux vidéo","8","7","","","","","","Amazon;Fnac","Facile à utiliser;Grande variété de produits;Bonne réputation","un homme.","24"
"2020/06/22 6:36:50 PM UTC+2","Non","","","","","","","","","","Non","","","","","","un homme.","24"
"2020/06/22 7:21:35 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;Fnac;Darty;AliExpress","moins d'une fois par mois","moins d'une fois par mois","Électroménager;Informatique","habits","7","7","Reorganiser ses rubriques de la barre verticale à droite","","","","","Amazon","Beau design;Prix abordable","une femme.","30"
"2020/06/22 8:56:17 PM UTC+2","Non","","","","","","","","","","Non","","","","","","une femme.","22"
"2020/06/22 10:22:29 PM UTC+2","Non","","","","","","","","","","Oui","Amazon;Vente-privée (Veepee);Fnac;Darty;Carrefour;Leroy Merlin","2 à 4 fois par mois","Courses alimentaires;Électroménager;Meuble déco;Jardin animalerie;Bricolage;Mode Bagage","Amazon","Facile à utiliser;Bonne réputation","une femme.","50"
"2020/06/23 7:47:13 AM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Meuble déco;Téléphonie;Reconditionné;Mode Bagage","Meuble déco;Informatique;Téléphonie;Reconditionné;Mode Bagage","7","7","Rien ","","","","","Vente-privée (Veepee)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","20"
"2020/06/23 2:04:01 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee);Fnac;Darty","Quelques fois par an","Pareil, quelques fois par an","Électroménager;Meuble déco;Bricolage;Informatique;TV / Son / Photo;Reconditionné;Jeux vidéo","Électroménager;Meuble déco;Bricolage;Informatique;TV / Son / Photo;Téléphonie;Reconditionné;Jeux vidéo","8","5","Je changerai l'ergonomie globale, pour une meilleure compréhension/facilité d'accès aux produits","","","","","Amazon;Cdiscount","Beau design;Facile à utiliser;Grande variété de produits;Bonne réputation","une femme.","24"
"2020/06/23 2:29:47 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Meuble déco;Téléphonie;Reconditionné;Mode Bagage","Meuble déco;Informatique;Téléphonie;Reconditionné;Mode Bagage","7","7","Rien ","","","","","Vente-privée (Veepee)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","20"
"2020/06/23 2:53:06 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;Ebay;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Informatique;TV / Son / Photo","Informatique;TV / Son / Photo","5","5","","","","","","Cdiscount","Grande variété de produits","une femme.","24"
"2020/06/23 4:28:03 PM UTC+2","Oui","Aucun","Amazon;Vente-privée (Veepee);Fnac;AliExpress","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Meuble déco;Téléphonie;Reconditionné;Mode Bagage","Meuble déco;Informatique;Téléphonie;Reconditionné;Mode Bagage","7","7","Rien ","","","","","Vente-privée (Veepee)","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","20"
"2020/06/23 4:56:53 PM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.","Amazon;Vente-privée (Veepee);Fnac;Ebay;PriceMinister (Rakuten)","1 à 2 fois par mois.","2 à 4 fois par mois.","Électroménager;Informatique;TV / Son / Photo","Électroménager;Informatique;TV / Son / Photo","6","4","","","","","","Amazon;Cdiscount;Vente-privée (Veepee);Fnac;Ebay;PriceMinister (Rakuten)","Grand nombre d'avis","un homme.","24"
"2020/06/24 12:23:56 PM UTC+2","Oui","Aucun","Fnac;Darty;Carrefour;Rue de commerce ","2 à 4 fois par mois.","2 à 4 fois par mois.","Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo","Électroménager;Informatique;TV / Son / Photo;Téléphonie","5","3","Ajouter un service de livraisons gratuit ou la baisse de free de livraison","","","","","Cdiscount;Fnac;Darty;Ebay;Carrefour;PriceMinister (Rakuten)","Facile à utiliser;Prix abordable;Grand nombre d'avis;Grand nombre de fonctionnalités;Bonne réputation","un homme.","30"
"2020/06/24 5:44:47 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee);Wish;PriceMinister (Rakuten)","1 à 2 fois par mois.","1 à 2 fois par mois.","Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo;Sport","Courses alimentaires;Électroménager;Informatique;TV / Son / Photo;Téléphonie;Jeux vidéo;Sport","7","3","","","","","","Amazon","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis","un homme.","23"
"2020/06/25 11:39:43 AM UTC+2","Oui","J'ai rencontré un retard lors d'une livraison.;J'ai eu des problèmes avec le service de livraison.","Amazon;AliExpress","1fois/an","2 à 4 fois par mois.","Informatique;Auto Moto","Informatique;TV / Son / Photo;Jeux vidéo;Auto Moto;Sport","6","6","","","","","","Amazon;AliExpress","Facile à utiliser;Prix abordable;Grande variété de produits;Grand nombre d'avis;Bonne réputation","pangolin bleu","22"
"2020/06/25 11:59:16 PM UTC+2","Non","","","","","","","","","","Oui","Fnac;Darty","1 à 2 fois par mois","Informatique","Fnac;Darty","Facile à utiliser;Prix abordable;Bonne réputation","une femme.","25"
"2020/06/26 9:44:50 AM UTC+2","Non","","","","","","","","","","Oui","Fnac","1 à 2 fois par mois","Électroménager;Meuble déco;Informatique;TV / Son / Photo;Reconditionné;livre","Fnac","Beau design;Grand nombre d'avis;Bonne réputation;Conseillé par un proche","une femme.","23"
"2020/06/27 11:33:15 AM UTC+2","Oui","Le service client m'a déplu.;L'ergonomie du site me déplait.","Amazon;Ebay;PriceMinister (Rakuten)","1 fois par an Max","1 à 2 fois par mois.","Informatique;TV / Son / Photo;Téléphonie;Reconditionné;Sport","Électroménager;Meuble déco;Literie;Jardin animalerie;Informatique;TV / Son / Photo;Téléphonie;Reconditionné","7","4","Les vendeurs ","","","","","Amazon;Ebay","Vendeurs fiables / pas de contrefaçons ","un homme.","24"
"2020/06/28 1:00:53 PM UTC+2","Oui","L'ergonomie du site me déplait.","Amazon;Vente-privée (Veepee)","1 fois par 3 mois ","1 fois par 2 mois ","Électroménager;Meuble déco;Informatique;TV / Son / Photo","Électroménager;Meuble déco;Jardin animalerie;Informatique","7","2","Application mobile ","","","","","Amazon;Cdiscount;Vente-privée (Veepee)","Facile à utiliser;Prix abordable;Grande variété de produits","un homme.","23"
"2020/06/30 4:56:58 AM UTC+2","Non","","","","","","","","","","Oui","Amazon;Fnac;Ebay;AliExpress","1 à 2 fois par mois","TV / Son / Photo;Jeux vidéo","Amazon;Fnac","Beau design;Facile à utiliser;Prix abordable;Grande variété de produits;Bonne réputation","une femme.","18"
